feature,importance
oldbalanceOrg,0.08241066066310414
type_PAYMENT,0.07839306266434584
newbalanceOrig,0.07684824420106068
balance_change_ratio,0.07274177837049432
type_freq,0.06784624359189509
balance_change_abs,0.06691505903516408
amount_to_balance_ratio,0.0651629223510966
balance_change,0.061294634875695565
amount,0.060253988993553304
type_TRANSFER,0.045174195382389516
transaction_day,0.03367279429522087
transaction_month,0.029432339003437273
City_freq,0.021327304100945264
transaction_year,0.019849006701607958
type_CASH_OUT,0.019526138339399462
Exp Type_freq,0.013410811154522896
type_CASH_IN,0.012419565066018356
Card Type_freq,0.010720327514236587
is_weekend,0.008434533842523564
time_since_last_tx,0.006431449540074678
Exp Type_Entertainment,0.0055819450105988435
"City_Bengaluru, India",0.005408533264160294
"City_Greater Mumbai, India",0.0053879880160268975
Exp Type_Bills,0.005338592884065373
Card Type_Platinum,0.005294572847331086
Exp Type_Fuel,0.005088808495200793
Card Type_Signature,0.005042258480837187
"City_Ahmedabad, India",0.004955014634116769
"City_Delhi, India",0.004910383820607401
Gender_M,0.004873693210958211
Exp Type_Food,0.00487069242970949
Gender_freq,0.00477952442886569
Exp Type_Grocery,0.004757763873372378
Card Type_Silver,0.004690774058468729
Gender_F,0.004676513931093548
Card Type_Gold,0.004649686926374294
is_large_transaction,0.0033925847096568083
"City_Lucknow, India",0.002388021169399662
"City_Jaipur, India",0.0022954259431856574
"City_Kanpur, India",0.0022701743730289626
"City_Pune, India",0.0021782656384943797
"City_Hyderabad, India",0.0021381412792501843
"City_Chennai, India",0.002119037523277537
"City_Kolkata, India",0.002081237961977772
type_DEBIT,0.002043564215496744
"City_Surat, India",0.0019323862744629367
Exp Type_Travel,0.0016325196571880347
"City_Pavagada, India",0.0004735478578725265
"City_Arambagh, India",0.00046743806355777426
"City_Firozpur, India",0.0003950849077806611
"City_Udumalaipettai, India",0.0003695953471094314
"City_Dhoraji, India",0.00032422377075629034
"City_Kalyan-Dombivali, India",0.00028434558937304676
"City_Tharad, India",0.0002785300954114706
"City_Sherkot, India",0.0002597457084478905
"City_Morshi, India",0.00022947552848198835
"City_Panipat, India",0.00021935084786979083
"City_Tandur, India",0.00021339527879898557
"City_Sarangpur, India",0.00021316233171899453
"City_Srivilliputhur, India",0.0002101161716588703
"City_Kunnamkulam, India",0.00020915388682784527
"City_Yellandu, India",0.00020248750106530226
"City_Rewa, India",0.00020174925206221223
"City_Akot, India",0.00020166303910962242
"City_Sagwara, India",0.00019863337147255606
"City_Sunabeda, India",0.0001958008989675587
"City_Tilda Newra, India",0.00019424055081171252
"City_Maddur, India",0.00018658940188551526
"City_Sattur, India",0.00018439483847748668
"City_Shrigonda, India",0.00017726948361834302
"City_Maihar, India",0.00017411514186580488
